query,stock_name,stock_code,pass_count,error,created_at
메카로,메카로,241770.0,8,,2025-05-06 06:41:38
미코,미코,59090.0,4,,2025-05-06 06:42:01
메가스터디교육,메가스터디교육,215200.0,5,,2025-05-06 06:42:44
알테오젠,알테오젠,196170.0,6,,2025-05-06 06:44:08
한화솔루션,한화솔루션,9830.0,6,,2025-05-06 06:44:23
파마리서치,파마리서치,214450.0,8,,2025-05-06 06:44:36
동방메디컬,,,0,RS 데이터가 없습니다.,2025-05-06 06:44:54
동방메디컬,,,0,RS 데이터가 없습니다.,2025-05-06 06:45:04
휴젤,휴젤,145020.0,8,,2025-05-06 06:46:11
펨트론,펨트론,168360.0,7,,2025-05-06 06:56:23
005930,삼성전자,5930.0,0,,2025-05-06 07:07:56
005380,현대차,5380.0,0,,2025-05-06 07:08:11
올릭스,올릭스,226950.0,8,,2025-05-06 07:08:31
웅진씽크빅,웅진씽크빅,95720.0,1,,2025-05-06 07:20:11
웅진,웅진,16880.0,5,,2025-05-06 07:20:24
한국콜마,한국콜마,161890.0,7,,2025-05-06 07:23:44
삼성전자,삼성전자,5930.0,0,,2025-05-06 07:24:16
삼성전자,삼성전자,5930.0,0,,2025-05-06 07:24:19
삼양식품,삼양식품,3230.0,8,,2025-05-06 07:24:43
삼양식품,삼양식품,3230.0,8,,2025-05-06 07:24:45
코스맥스,코스맥스,192820.0,7,,2025-05-06 07:27:43
